"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","DATABASE","gene_set"
"GO:0061621","GO:0061621","canonical glycolysis","11/701","26/15986",4.51075096563759e-09,4.51075096563759e-09,3.22690041733686e-06,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0061718","GO:0061718","glucose catabolic process to pyruvate","11/701","26/15986",4.51075096563759e-09,4.51075096563759e-09,3.22690041733686e-06,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0019674","GO:0019674","NAD metabolic process","17/701","69/15986",4.75771660083293e-09,4.75771660083293e-09,3.22690041733686e-06,"ALDOA/ALDOC/BST1/ENO1/ENO2/GPI/HK2/LDHA/NADSYN1/NMRK1/PARP10/PFKFB4/PFKL/PFKP/PGAM1/PGK1/QPRT",17,"GO","Gene Set I - baseline NFkB suppression"
"GO:0061615","GO:0061615","glycolytic process through fructose-6-phosphate","11/701","27/15986",7.31160971195041e-09,7.31160971195041e-09,3.71930041400004e-06,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0061620","GO:0061620","glycolytic process through glucose-6-phosphate","11/701","27/15986",7.31160971195041e-09,7.31160971195041e-09,3.71930041400004e-06,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0016126","GO:0016126","sterol biosynthetic process","15/701","55/15986",8.51530597952577e-09,8.51530597952577e-09,3.85031262185341e-06,"ACAT2/APOA1/CYB5R3/CYP51A1/DHCR7/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/MSMO1/NSDHL/SQLE",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006007","GO:0006007","glucose catabolic process","11/701","31/15986",4.04272901725898e-08,4.04272901725898e-08,1.64517793481297e-05,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0008203","GO:0008203","cholesterol metabolic process","21/701","121/15986",6.11922875540143e-08,6.11922875540143e-08,2.26382185343368e-05,"ACAT2/APOA1/APOC1/CYB5R3/CYP51A1/DHCR7/EPHX2/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/LIPC/MSMO1/NPC1/NSDHL/SERPINA12/SQLE/SREBF2",21,"GO","Gene Set I - baseline NFkB suppression"
"GO:1902652","GO:1902652","secondary alcohol metabolic process","21/701","125/15986",1.09332028753941e-07,1.09332028753941e-07,3.49602484805965e-05,"ACAT2/APOA1/APOC1/CYB5R3/CYP51A1/DHCR7/EPHX2/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/LIPC/MSMO1/NPC1/NSDHL/SERPINA12/SQLE/SREBF2",21,"GO","Gene Set I - baseline NFkB suppression"
"GO:0046165","GO:0046165","alcohol biosynthetic process","19/701","104/15986",1.11681083480436e-07,1.11681083480436e-07,3.49602484805965e-05,"ACAT2/APOA1/CYB5R3/CYP51A1/DHCR7/FDPS/GPER1/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/MSMO1/NSDHL/PCK1/PTH1R/SPHK2/SQLE",19,"GO","Gene Set I - baseline NFkB suppression"
"GO:0019320","GO:0019320","hexose catabolic process","13/701","51/15986",2.02112799466197e-07,2.02112799466197e-07,5.87494799049863e-05,"ALDOA/ALDOC/ENO1/ENO2/GALE/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",13,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006734","GO:0006734","NADH metabolic process","11/701","36/15986",2.34656694427803e-07,2.34656694427803e-07,6.36619495198518e-05,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0036293","GO:0036293","response to decreased oxygen levels","37/701","339/15986",3.14415739659637e-07,3.14415739659637e-07,7.9969161152905e-05,"ACVRL1/AGER/ANG/APAF1/AQP1/ASCL2/BNIP3/BNIP3L/CA9/CBFA2T3/CXCL12/CXCR4/DRD2/EGLN3/ENO1/ERO1A/F7/FAM162A/HIF3A/HSP90B1/LDHA/NDRG1/NPEPPS/OXTR/P4HB/PCK1/PDK1/PDLIM1/PGK1/PLAT/PLOD1/PLOD2/RAMP2/RBPJ/STC1/VEGFA/ZFP36L1",37,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006090","GO:0006090","pyruvate metabolic process","18/701","103/15986",4.80337194970371e-07,4.80337194970371e-07,0.000105965189405462,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/PC/PCK1/PDK1/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/SLC16A3",18,"GO","Gene Set I - baseline NFkB suppression"
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process","45/701","463/15986",4.87903255906381e-07,4.87903255906381e-07,0.000105965189405462,"ACAT2/ACSS2/ALDH3B1/APOA1/APOC1/CYB5R3/CYP51A1/DDT/DHCR7/DRD2/DUOXA2/EPHX2/FABP6/FDPS/GCNT4/GPER1/HAND2/HMGCR/HMGCS1/HPN/HSD17B7/IDI1/INSIG1/INSIG2/LDHA/LIPC/MAOA/MOGAT2/MOGAT3/MSMO1/NPC1/NSDHL/PCK1/PER2/PLCB2/PNMT/PTH1R/SERPINA12/SPHK2/SQLE/SREBF2/STARD4/SULT1A4/TPH2/WNT5A",45,"GO","Gene Set I - baseline NFkB suppression"
"GO:0001666","GO:0001666","response to hypoxia","36/701","331/15986",4.94741766365388e-07,4.94741766365388e-07,0.000105965189405462,"ACVRL1/AGER/ANG/APAF1/AQP1/ASCL2/BNIP3/BNIP3L/CA9/CBFA2T3/CXCL12/CXCR4/DRD2/EGLN3/ENO1/ERO1A/F7/FAM162A/HIF3A/HSP90B1/LDHA/NDRG1/NPEPPS/P4HB/PCK1/PDK1/PDLIM1/PGK1/PLAT/PLOD1/PLOD2/RAMP2/RBPJ/STC1/VEGFA/ZFP36L1",36,"GO","Gene Set I - baseline NFkB suppression"
"GO:0016125","GO:0016125","sterol metabolic process","21/701","137/15986",5.38423071148155e-07,5.38423071148155e-07,0.000109554925950461,"ACAT2/APOA1/APOC1/CYB5R3/CYP51A1/DHCR7/EPHX2/FDPS/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/LIPC/MSMO1/NPC1/NSDHL/SERPINA12/SQLE/SREBF2",21,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","16/701","85/15986",7.33627551856152e-07,7.33627551856152e-07,0.000142165619823353,"AK4/ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/NME4/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",16,"GO","Gene Set I - baseline NFkB suppression"
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","26/701","202/15986",8.40712557577071e-07,8.40712557577071e-07,0.000155511710411146,"ACAT2/APOA1/CYB5R3/CYP51A1/DDT/DHCR7/FDPS/GPER1/HAND2/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/MSMO1/NSDHL/PCK1/PER2/PNMT/PTH1R/SPHK2/SQLE/STARD4/TPH2/WNT5A",26,"GO","Gene Set I - baseline NFkB suppression"
"GO:0070482","GO:0070482","response to oxygen levels","37/701","354/15986",9.14368732942238e-07,9.14368732942238e-07,0.000161782586798842,"ACVRL1/AGER/ANG/APAF1/AQP1/ASCL2/BNIP3/BNIP3L/CA9/CBFA2T3/CXCL12/CXCR4/DRD2/EGLN3/ENO1/ERO1A/F7/FAM162A/HIF3A/HSP90B1/LDHA/NDRG1/NPEPPS/OXTR/P4HB/PCK1/PDK1/PDLIM1/PGK1/PLAT/PLOD1/PLOD2/RAMP2/RBPJ/STC1/VEGFA/ZFP36L1",37,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006096","GO:0006096","glycolytic process","14/701","67/15986",9.65070469877674e-07,9.65070469877674e-07,0.000163638703357328,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",14,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006757","GO:0006757","ATP generation from ADP","14/701","68/15986",1.16688577329134e-06,1.16688577329134e-06,0.00018994443787555,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",14,"GO","Gene Set I - baseline NFkB suppression"
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","18/701","111/15986",1.49945223971888e-06,1.49945223971888e-06,0.000223479538634925,"AK4/ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/ENTPD2/ENTPD8/GPI/HK2/LDHA/NME4/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",18,"GO","Gene Set I - baseline NFkB suppression"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","20/701","134/15986",1.53765021409442e-06,1.53765021409442e-06,0.000223479538634925,"ALDOA/ALDOC/BST1/CBFA2T3/ENO1/ENO2/GPI/HK2/IDH2/LDHA/NADSYN1/NMRK1/PARP10/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/QPRT",20,"GO","Gene Set I - baseline NFkB suppression"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","20/701","134/15986",1.53765021409442e-06,1.53765021409442e-06,0.000223479538634925,"ALDOA/ALDOC/BST1/CBFA2T3/ENO1/ENO2/GPI/HK2/IDH2/LDHA/NADSYN1/NMRK1/PARP10/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/QPRT",20,"GO","Gene Set I - baseline NFkB suppression"
"GO:0046365","GO:0046365","monosaccharide catabolic process","13/701","61/15986",1.85857763115282e-06,1.85857763115282e-06,0.000257794518469055,"ALDOA/ALDOC/ENO1/ENO2/GALE/GPI/HK2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",13,"GO","Gene Set I - baseline NFkB suppression"
"GO:0046939","GO:0046939","nucleotide phosphorylation","16/701","91/15986",1.90045105441492e-06,1.90045105441492e-06,0.000257794518469055,"AK4/ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/NME4/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",16,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006733","GO:0006733","oxidoreduction coenzyme metabolic process","21/701","150/15986",2.44876506112686e-06,2.44876506112686e-06,0.000321457579840965,"ALDOA/ALDOC/BST1/CBFA2T3/ENO1/ENO2/GPI/HK2/HMGCR/IDH2/LDHA/NADSYN1/NMRK1/PARP10/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/QPRT",21,"GO","Gene Set I - baseline NFkB suppression"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","20/701","139/15986",2.75540579009056e-06,2.75540579009056e-06,0.000350407854752964,"ALDOA/ALDOC/BST1/CBFA2T3/ENO1/ENO2/GPI/HK2/IDH2/LDHA/NADSYN1/NMRK1/PARP10/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/QPRT",20,"GO","Gene Set I - baseline NFkB suppression"
"GO:0046031","GO:0046031","ADP metabolic process","14/701","73/15986",2.857624938192e-06,2.857624938192e-06,0.000352394832888366,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",14,"GO","Gene Set I - baseline NFkB suppression"
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process","15/701","89/15986",6.82281714779322e-06,6.82281714779322e-06,0.000793293566717852,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/ENTPD2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process","15/701","89/15986",6.82281714779322e-06,6.82281714779322e-06,0.000793293566717852,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/ENTPD2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process","15/701","91/15986",9.03749275257231e-06,9.03749275257231e-06,0.00102160663688434,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/ENTPD2/GPI/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1",15,"GO","Gene Set I - baseline NFkB suppression"
"GO:0044724","GO:0044724","single-organism carbohydrate catabolic process","19/701","139/15986",1.04146566546858e-05,1.04146566546858e-05,0.00114546408611708,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GALE/GPI/GYG2/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PHKA2/PPP1R3B/PYGL",19,"GO","Gene Set I - baseline NFkB suppression"
"GO:0050878","GO:0050878","regulation of body fluid levels","43/701","491/15986",1.27309098080005e-05,1.27309098080005e-05,0.00134486825731522,"ACTB/ACTG1/AGR2/APLN/AQP1/AXL/CAPZB/CLIC1/DOCK6/DRD2/EHD2/ENTPD2/F10/F2/F7/FCER1G/GNA15/GNAS/GPI/HBD/HBG2/HK2/HSPB1/KCNN4/LCK/MAFF/MAPK3/MYL9/NEURL1/NFE2/NPPB/NPR3/NR1H3/OXTR/PLAT/PRKCG/PRL/SCT/SERPINF2/TFPI/TYRO3/VEGFA/ZNF385A",43,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006641","GO:0006641","triglyceride metabolic process","16/701","105/15986",1.29030389515707e-05,1.29030389515707e-05,0.00134486825731522,"APOA1/APOC1/APOC2/FABP3/FABP6/INSIG1/INSIG2/LIPC/LPCAT4/LPIN3/MOGAT2/MOGAT3/NR1H3/PCK1/PNPLA3/SERPINA12",16,"GO","Gene Set I - baseline NFkB suppression"
"GO:0003012","GO:0003012","muscle system process","37/701","397/15986",1.32190878887684e-05,1.32190878887684e-05,0.00134486825731522,"ACTA2/ACTG2/AIF1/ALDOA/ARG2/ATP2B4/CHRM2/CNN1/CTNNA3/DES/DMD/DRD2/ENO1/GDNF/GPER1/HAND2/HSPB6/IL15/KCNH2/LMOD1/MYL9/MYLK/NEDD4L/NMUR2/OBSL1/OXTR/PDE9A/PTGER3/SLC6A8/SMTN/SORBS3/STC1/TNNC1/TNNT1/TPM1/TPM2/TRPM4",37,"GO","Gene Set I - baseline NFkB suppression"
"GO:0044723","GO:0044723","single-organism carbohydrate metabolic process","40/701","446/15986",1.47285852469799e-05,1.47285852469799e-05,0.00146189244068869,"ALDOA/ALDOC/CBFA2T3/CYB5R3/ENO1/ENO2/FUOM/GAL3ST4/GALE/GPER1/GPI/GYG2/HAS3/HK2/IDH2/IGFBP3/LDHA/MIDN/MOGAT2/MOGAT3/MPI/MST1/PC/PCK1/PDK1/PER2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PHKA2/PPP1R3B/PPP1R3G/PTH1R/PYGL/SERPINA12/SLC2A1/SLC2A3",40,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006066","GO:0006066","alcohol metabolic process","30/701","294/15986",1.56325989508376e-05,1.56325989508376e-05,0.00151467738205359,"ACAT2/ACSS2/ALDH3B1/APOA1/APOC1/CYB5R3/CYP51A1/DHCR7/EPHX2/FDPS/GPER1/HMGCR/HMGCS1/HSD17B7/IDI1/INSIG1/INSIG2/LIPC/MOGAT2/MOGAT3/MSMO1/NPC1/NSDHL/PCK1/PLCB2/PTH1R/SERPINA12/SPHK2/SQLE/SREBF2",30,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006936","GO:0006936","muscle contraction","32/701","327/15986",1.92221095535353e-05,1.92221095535353e-05,0.00181915974379358,"ACTA2/ACTG2/ALDOA/ARG2/CHRM2/CNN1/CTNNA3/DES/DMD/DRD2/ENO1/GDNF/GPER1/HSPB6/KCNH2/LMOD1/MYL9/MYLK/NEDD4L/NMUR2/OBSL1/OXTR/PTGER3/SLC6A8/SMTN/SORBS3/STC1/TNNC1/TNNT1/TPM1/TPM2/TRPM4",32,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006639","GO:0006639","acylglycerol metabolic process","17/701","121/15986",2.092787808355e-05,2.092787808355e-05,0.00193557838925847,"ANG/APOA1/APOC1/APOC2/FABP3/FABP6/INSIG1/INSIG2/LIPC/LPCAT4/LPIN3/MOGAT2/MOGAT3/NR1H3/PCK1/PNPLA3/SERPINA12",17,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006638","GO:0006638","neutral lipid metabolic process","17/701","122/15986",2.33433969865643e-05,2.33433969865643e-05,0.0020565436847694,"ANG/APOA1/APOC1/APOC2/FABP3/FABP6/INSIG1/INSIG2/LIPC/LPCAT4/LPIN3/MOGAT2/MOGAT3/NR1H3/PCK1/PNPLA3/SERPINA12",17,"GO","Gene Set I - baseline NFkB suppression"
"GO:0016052","GO:0016052","carbohydrate catabolic process","19/701","147/15986",2.33750483488282e-05,2.33750483488282e-05,0.0020565436847694,"ALDOA/ALDOC/CBFA2T3/ENO1/ENO2/GALE/GPI/GYG2/HK2/LDHA/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PHKA2/PPP1R3B/PYGL",19,"GO","Gene Set I - baseline NFkB suppression"
"GO:0005996","GO:0005996","monosaccharide metabolic process","28/701","271/15986",2.37518560592224e-05,2.37518560592224e-05,0.0020565436847694,"ALDOA/ALDOC/CYB5R3/ENO1/ENO2/FUOM/GALE/GPI/HK2/IGFBP3/MIDN/MPI/MST1/PC/PCK1/PDK1/PER2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PPP1R3B/PPP1R3G/SERPINA12/SLC2A1/SLC2A3",28,"GO","Gene Set I - baseline NFkB suppression"
"GO:0009615","GO:0009615","response to virus","30/701","301/15986",2.45781832513734e-05,2.45781832513734e-05,0.00208375562389933,"ACTA2/APOBEC3C/APOBEC3D/BATF3/BNIP3/BNIP3L/BST2/CD8B/CHRM2/CXCL10/CXCL12/CXCR4/ENO1/GBP1/HMGA2/HSPB1/HYAL1/IFITM1/IFITM2/IFITM3/IFNGR2/IL15/IRF7/IRF9/ISG20/LCK/NLRX1/SPON2/UNC13D/UNC93B1",30,"GO","Gene Set I - baseline NFkB suppression"
"GO:0019318","GO:0019318","hexose metabolic process","25/701","231/15986",2.96621507443723e-05,2.96621507443723e-05,0.00246345595655732,"ALDOA/ALDOC/ENO1/ENO2/FUOM/GALE/GPI/HK2/IGFBP3/MIDN/MPI/MST1/PC/PCK1/PDK1/PER2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PPP1R3B/PPP1R3G/SERPINA12",25,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006094","GO:0006094","gluconeogenesis","13/701","78/15986",3.14172536532912e-05,3.14172536532912e-05,0.00255703373944471,"ALDOA/ALDOC/ENO1/ENO2/GPI/MST1/PC/PCK1/PER2/PGAM1/PGK1/PGM1/SERPINA12",13,"GO","Gene Set I - baseline NFkB suppression"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","24/701","218/15986",3.22235058003069e-05,3.22235058003069e-05,0.0025712295856344,"AFMID/ARG2/ASL/ASPG/ASS1/ATP2B4/AUH/CARNS1/CKB/DDAH2/DPEP1/EGLN3/ERO1A/GGT1/GPT/HMGCL/P4HA1/P4HB/PHYKPL/PLOD1/PLOD2/PRODH/SLC6A8/SMS",24,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006909","GO:0006909","phagocytosis","24/701","219/15986",3.47266454791121e-05,3.47266454791121e-05,0.00271767634457991,"ACTB/ACTG1/AIF1/ANXA3/ARPC2/AXL/CALR/CD300A/CD300LF/CD93/CORO1C/FCER1G/FCGR2A/MAPK3/MYO18A/NR1H3/PDIA6/PRKCG/RAB20/SPON2/SYT7/TYRO3/UNC13D/WASF2",24,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006006","GO:0006006","glucose metabolic process","22/701","192/15986",3.69769349406637e-05,3.69769349406637e-05,0.00283918233327916,"ALDOA/ALDOC/ENO1/ENO2/GPI/HK2/IGFBP3/MIDN/MST1/PC/PCK1/PDK1/PER2/PFKFB4/PFKL/PFKP/PGAM1/PGK1/PGM1/PPP1R3B/PPP1R3G/SERPINA12",22,"GO","Gene Set I - baseline NFkB suppression"
"GO:0019319","GO:0019319","hexose biosynthetic process","13/701","81/15986",4.73984448498086e-05,4.73984448498086e-05,0.00350703134525091,"ALDOA/ALDOC/ENO1/ENO2/GPI/MST1/PC/PCK1/PER2/PGAM1/PGK1/PGM1/SERPINA12",13,"GO","Gene Set I - baseline NFkB suppression"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","13/701","81/15986",4.73984448498086e-05,4.73984448498086e-05,0.00350703134525091,"APOA1/ARPC2/AXL/CALR/CORO1C/EFNA1/GBP1/KANK1/LAMA5/MYADM/S100A10/TYRO3/UNC13D",13,"GO","Gene Set I - baseline NFkB suppression"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","10/701","50/15986",5.15377859303796e-05,5.15377859303796e-05,0.0037452082783242,"APOBEC3C/APOBEC3D/BST2/HMGA2/IFITM1/IFITM2/IFITM3/ISG20/PARP10/TNIP1",10,"GO","Gene Set I - baseline NFkB suppression"
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process","20/701","171/15986",6.17083380813513e-05,6.17083380813513e-05,0.0044056220687443,"ASS1/CARNS1/CKB/DPEP1/DUOXA2/EGLN3/ERO1A/GCNT4/GGT1/GGT5/HPN/LPCAT4/NAT8/P4HA1/P4HB/PLA2G2A/PLOD1/PLOD2/PRODH/SLC6A8",20,"GO","Gene Set I - baseline NFkB suppression"
"GO:0060193","GO:0060193","positive regulation of lipase activity","11/701","62/15986",7.01854602615918e-05,7.01854602615918e-05,0.00477615988088172,"AGTR1/ANG/APOA1/APOC2/FGFR2/GNA15/KIT/NMUR2/NR1H3/PLCB2/S1PR4",11,"GO","Gene Set I - baseline NFkB suppression"
"GO:0008202","GO:0008202","steroid metabolic process","28/701","288/15986",7.05062540806467e-05,7.05062540806467e-05,0.00477615988088172,"ACAT2/AGTR1/APOA1/APOC1/CYB5R3/CYP3A5/CYP51A1/DHCR7/EPHX2/FABP6/FDPS/HMGCR/HMGCS1/HSD17B14/HSD17B7/HSD17B8/IDI1/INSIG1/INSIG2/LIPC/MSMO1/NPC1/NSDHL/SERPINA12/SQLE/SREBF2/STARD4/SULT1A4",28,"GO","Gene Set I - baseline NFkB suppression"
"GO:0034367","GO:0034367","macromolecular complex remodeling","7/701","25/15986",7.27666365711158e-05,7.27666365711158e-05,0.00477615988088172,"AGTR1/APOA1/APOC1/APOC2/APOM/LIPC/PLA2G2A",7,"GO","Gene Set I - baseline NFkB suppression"
"GO:0034368","GO:0034368","protein-lipid complex remodeling","7/701","25/15986",7.27666365711158e-05,7.27666365711158e-05,0.00477615988088172,"AGTR1/APOA1/APOC1/APOC2/APOM/LIPC/PLA2G2A",7,"GO","Gene Set I - baseline NFkB suppression"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","7/701","25/15986",7.27666365711158e-05,7.27666365711158e-05,0.00477615988088172,"AGTR1/APOA1/APOC1/APOC2/APOM/LIPC/PLA2G2A",7,"GO","Gene Set I - baseline NFkB suppression"
